,State,County,latitude,longitude
15741,AL,Covington,31.4,-86.48
15815,AL,Calhoun,33.66,-85.81
15832,AL,Cleburne,33.7,-85.5
15834,AL,Randolph,33.46,-85.33
15851,AL,Houston,31.23,-85.4
15856,AL,Henry,31.56,-85.25
15857,AL,Dale,31.59,-85.71
15859,AL,Geneva,31.17,-85.79
15890,AL,Conecuh,31.43,-86.95
15893,AL,Monroe,31.73,-87.2
15894,AL,Escambia,31.11,-87.07
15898,AL,Wilcox,31.89,-87.46
15899,AL,Clarke,31.76,-87.71
15933,AL,Mobile,30.92,-88.02
15934,AL,Baldwin,30.88,-87.77
15938,AL,Washington,31.15,-88.01
16036,AL,Dallas,32.41,-87.03
16046,AL,Marengo,32.5,-87.83
16061,AL,Perry,32.63,-87.31
16084,AL,Lee,32.65,-85.37
16093,AL,Russell,32.13,-85.14
16094,AL,Chambers,32.75,-85.23
16118,AL,Choctaw,32.08,-88.22
16130,TN,Robertson,36.58,-87.06
16131,TN,Davidson,36.04,-86.64
16132,TN,De Kalb,36.07,-86.03
16134,TN,Williamson,35.86,-86.65
16135,TN,Cheatham,36.27,-87.05
16136,TN,Cannon,35.94,-86.09
16137,TN,Coffee,35.64,-86.2
16138,TN,Marshall,35.4,-86.71
16139,TN,Bedford,35.59,-86.35
16140,TN,Sumner,36.5,-86.3
16141,TN,Stewart,36.59,-87.69
16143,TN,Hickman,35.94,-87.34
16147,TN,Dickson,36.05,-87.31
16148,TN,Smith,36.25,-85.94
16155,TN,Rutherford,35.7,-86.34
16156,TN,Montgomery,36.56,-87.34
16170,TN,Trousdale,36.4,-86.04
16174,TN,Houston,36.31,-87.7
16185,TN,Wilson,36.08,-86.4
16192,TN,Humphreys,35.94,-87.76
16196,TN,Macon,36.52,-86.03
16205,TN,Perry,35.61,-87.84
16209,TN,Warren,35.68,-85.77
16233,TN,Lincoln,35.31,-86.63
16249,TN,Maury,35.74,-86.92
16308,TN,Grundy,35.42,-85.72
16309,TN,Hamilton,35.01,-85
16310,TN,McMinn,35.45,-84.6
16313,TN,Franklin,35.12,-86.18
16314,TN,Polk,35.17,-84.65
16317,TN,Bradley,35.28,-84.76
16321,TN,Monroe,35.26,-84.3
16327,TN,Rhea,35.49,-85.01
16328,TN,Meigs,35.52,-84.79
16333,TN,Sequatchie,35.37,-85.38
16346,TN,Marion,35.01,-85.5
16356,TN,Moore,35.28,-86.35
16370,TN,Bledsoe,35.6,-85.19
16373,TN,Mcminn,35.45,-84.6
16415,TN,Shelby,35.1,-90
16417,TN,Washington,36.33,-82.36
16423,TN,Greene,36.21,-82.74
16424,TN,Sullivan,36.53,-82.32
16429,TN,Johnson,36.31,-82
16431,TN,Hawkins,36.52,-82.71
16432,TN,Carter,36.33,-82.23
16435,TN,Unicoi,36.14,-82.41
16459,TN,Blount,35.79,-83.97
16460,TN,Anderson,36.2,-84.04
16461,TN,Claiborne,36.54,-83.67
16462,TN,Grainger,36.34,-83.28
16466,TN,Cocke,36.04,-83.18
16467,TN,Campbell,36.32,-84.21
16471,TN,Morgan,36.03,-84.41
16472,TN,Knox,36.12,-83.8
16474,TN,Cumberland,35.9,-84.88
16476,TN,Jefferson,36.02,-83.41
16482,TN,Scott,36.33,-84.6
16485,TN,Sevier,35.72,-83.49
16486,TN,Loudon,35.65,-84.17
16490,TN,Roane,35.93,-84.56
16501,TN,Hancock,36.57,-83.04
16510,TN,Hamblen,36.15,-83.2
16511,TN,Union,36.2,-83.74
16611,TN,Crockett,35.78,-89.11
16613,TN,Tipton,35.44,-89.77
16615,TN,Dyer,36.15,-89.49
16616,TN,Hardeman,35.26,-88.99
16617,TN,Fayette,35.36,-89.57
16619,TN,Haywood,35.59,-89.25
16636,TN,Lauderdale,35.83,-89.4
16656,TN,McNairy,35.05,-88.81
16666,TN,Lake,36.29,-89.47
16737,TN,Carroll,36.13,-88.51
16739,TN,Benton,36.23,-88.08
16740,TN,Henry,36.42,-88.17
16743,TN,Weakley,36.27,-88.69
16749,TN,Obion,36.33,-89.29
16750,TN,Gibson,36.19,-89.01
16770,TN,Madison,35.63,-88.82
16776,TN,Decatur,35.44,-88.1
16786,TN,Hardin,35.03,-88.29
16788,TN,Henderson,35.63,-88.23
16792,TN,Chester,35.38,-88.42
16844,TN,Wayne,35.38,-87.99
16845,TN,Giles,34.99,-86.84
16852,TN,Lawrence,35.32,-87.3
16857,TN,Lewis,35.55,-87.55
16877,TN,Putnam,36.15,-85.5
16880,TN,Fentress,36.38,-84.88
16883,TN,Overton,36.51,-85.32
16887,TN,Jackson,36.22,-85.66
16890,TN,Pickett,36.57,-85.13
16892,TN,Clay,36.54,-85.5
16900,TN,White,35.85,-85.51
16922,TN,Van Buren,35.74,-85.45
16926,MS,Lafayette,34.5,-89.5
16927,MS,Tate,34.7,-90.13
16928,MS,Benton,34.83,-89.17
16929,MS,Panola,34.31,-89.93
16930,MS,Quitman,34.26,-90.35
16931,MS,Tippah,34.67,-89.02
16932,MS,Marshall,34.86,-89.68
16933,MS,Coahoma,34.2,-90.57
16942,MS,Tunica,34.51,-90.45
16943,MS,Union,34.46,-89.2
16948,MS,DeSoto,34.82,-89.98
16989,MS,Desoto,34.95,-90.13
16990,MS,Washington,33.38,-91.05
16994,MS,Bolivar,34.08,-90.72
16995,MS,Sharkey,32.97,-90.82
17004,MS,Sunflower,33.65,-90.52
17010,MS,Issaquena,32.96,-90.94
17016,MS,Humphreys,33.26,-90.59
17036,MS,Lee,34.26,-88.73
17040,MS,Pontotoc,34.17,-89.03
17041,MS,Monroe,33.98,-88.48
17042,MS,Prentiss,34.5,-88.63
17045,MS,Tishomingo,34.5,-88.2
17049,MS,Alcorn,34.93,-88.51
17052,MS,Calhoun,33.85,-89.28
17054,MS,Itawamba,34.26,-88.4
17060,MS,Chickasaw,34.03,-89.01
17086,MS,Grenada,33.77,-89.81
17092,MS,Carroll,33.5,-89.92
17093,MS,Tallahatchie,33.89,-90.03
17095,MS,Yalobusha,33.97,-89.67
17097,MS,Holmes,33.32,-90.23
17098,MS,Montgomery,33.63,-89.71
17103,MS,Leflore,33.51,-90.19
17119,MS,Webster,33.74,-89.37
17132,MS,Yazoo,32.8,-90.28
17134,MS,Hinds,32.35,-90.45
17135,MS,Rankin,32.28,-90
17137,MS,Simpson,32.02,-89.97
17138,MS,Madison,32.8,-89.87
17141,MS,Leake,32.74,-89.53
17144,MS,Newton,32.45,-89.27
17146,MS,Copiah,31.98,-90.35
17152,MS,Attala,33.12,-89.46
17153,MS,Jefferson,31.71,-91.06
17157,MS,Scott,32.35,-89.47
17165,MS,Claiborne,32.02,-90.8
17183,MS,Smith,31.86,-89.55
17185,MS,Covington,31.75,-89.65
17186,MS,Adams,31.54,-91.38
17190,MS,Lawrence,31.72,-90.04
17201,MS,Warren,32.5,-90.79
17265,MS,Lauderdale,32.38,-88.71
17273,MS,Wayne,31.53,-88.52
17279,MS,Kemper,32.76,-88.65
17280,MS,Clarke,32.17,-88.81
17285,MS,Jasper,32.07,-89.26
17286,MS,Winston,33.12,-89.05
17287,MS,Noxubee,33.11,-88.56
17293,MS,Neshoba,32.77,-89.1
17302,MS,Greene,31.43,-88.47
