fips,year,Pill_per_pop
2013,2006,0.10737294201861099
2013,2007,0.0332005312084993
2016,2006,4.71898197242842
2016,2007,6.12879619465788
2016,2008,5.5627665492304805
2016,2009,5.4314259763851
2016,2010,4.16999520690206
2016,2011,5.26603498542274
2016,2012,3.41383693481024
2020,2006,25.5917168002571
2020,2007,28.5106208212574
2020,2008,30.6339529894798
2020,2009,32.7155772872688
2020,2010,33.005624993404105
2020,2011,34.4387278610947
2020,2012,34.6471952516554
2050,2006,0.00596836765144733
2050,2008,0.0601956807063596
2050,2009,0.175558276485336
2050,2010,0.18161301817317999
2050,2011,0.23566841454074103
2050,2012,0.6564245810055871
2068,2006,1.36091453456723
2068,2007,1.94120909595119
2068,2012,0.521648408972353
2090,2006,20.419680821690896
2090,2007,20.184510128815
2090,2008,21.515885438700398
2090,2009,24.699152236093504
2090,2010,28.3596819110749
2090,2011,31.714208462890397
2090,2012,30.324333746911
2100,2006,28.304347826087
2100,2007,26.3976460697772
2100,2008,24.8752079866889
2100,2009,25.041254125412504
2100,2010,37.0928829915561
2100,2011,17.6260420801906
2100,2012,17.092
2110,2006,23.558815891976103
2110,2007,26.2085261716968
2110,2008,27.7820636451302
2110,2009,27.747993631608
2110,2010,27.3770782889427
2110,2011,29.5143067468954
2110,2012,29.7562903021874
2122,2006,33.9502038160488
2122,2007,39.550045051809605
2122,2008,44.345913707948895
2122,2009,49.184385131569
2122,2010,49.7262458964705
2122,2011,49.88084359808471
2122,2012,49.6355950535386
2130,2006,43.507263563593206
2130,2007,41.3312345401394
2130,2008,40.166591625394
2130,2009,42.2646969235455
2130,2010,42.3708569722305
2130,2011,44.05455765074161
2130,2012,48.004584103512
2150,2006,16.785497572815498
2150,2007,17.4709324416749
2150,2008,19.7029105715578
2150,2009,21.1455084810223
2150,2010,22.233875196643897
2150,2011,21.5673190984579
2150,2012,20.393873085339198
2170,2006,33.5542329556293
2170,2007,36.803272646863704
2170,2008,37.6588684451528
2170,2009,41.360065287031496
2170,2010,43.6547945856656
2170,2011,47.6681986246933
2170,2012,46.95439939990371
2180,2009,0.032123353678124
2180,2010,0.0429414922168545
2185,2006,0.149609140108238
2185,2007,0.16433853738701698
2185,2009,0.0893388921977367
2185,2010,0.12426570266606402
2185,2011,0.11267605633802802
2185,2012,0.0643984115058495
2188,2006,0.25713137806347897
2188,2007,0.032258064516129
2188,2008,0.0321457272970801
2195,2006,30.545548121461703
2195,2007,29.2201128783992
2195,2008,29.8663872150904
2195,2009,28.2755049197307
2195,2010,15.9333506899245
2195,2011,12.6859827721222
2195,2012,14.887493458922
2220,2006,21.987618837055102
2220,2007,21.87323466275
2220,2008,27.1646859083192
2220,2009,30.178186357961604
2220,2010,29.8178547335282
2220,2011,28.967226038968395
2220,2012,32.0294084633517
2230,2006,0.761099365750529
2240,2006,5.3102537773214005
2240,2007,8.884089272858171
2240,2008,12.876593279258401
2240,2009,14.8668639053254
2240,2010,12.6892573900505
2240,2011,15.857142857142902
2240,2012,13.268930245773499
2261,2006,19.1900691900692
2261,2007,22.7956539908065
2261,2008,26.7604144639459
2261,2009,28.7753174519887
2261,2010,29.0131168019988
2261,2011,28.0012505210504
2261,2012,29.540253796546697
1001,2006,44.364479426433896
1001,2007,49.5294342142925
1001,2008,52.883983707791394
1001,2009,62.940666343981896
1001,2010,59.7147963502963
1001,2011,65.3477680557615
1001,2012,68.84282835684189
1003,2006,37.7930062276575
1003,2007,44.4662536832092
1003,2008,49.03086556672179
1003,2009,56.21057344023439
1003,2010,61.78972757422171
1003,2011,68.8426106961225
1003,2012,78.5735266828944
1005,2006,29.6852230716773
1005,2007,34.2663112007782
1005,2008,36.303941311852704
1005,2009,37.5936351683916
1005,2010,45.486118632441595
1005,2011,50.117984462353895
1005,2012,52.6884852014999
1007,2006,34.1286936060455
1007,2007,38.8256529102416
1007,2008,46.60383175512
1007,2009,47.445490122996596
1007,2010,49.84033613445379
1007,2011,57.1128989712477
1007,2012,56.5764855724889
1009,2006,23.2548436514373
1009,2007,25.1820768136558
1009,2008,26.278503198667998
1009,2009,29.742975846771397
1009,2010,31.4104282791223
1009,2011,36.162408120406
1009,2012,38.2499216928271
1011,2006,10.47141796585
1011,2007,12.9806557079284
1011,2008,17.4491007030037
1011,2009,24.769625354951
1011,2010,32.2521285361165
1011,2011,38.690815482210205
1011,2012,38.8523981816495
1013,2006,32.3478260869565
1013,2007,40.1861778501005
1013,2008,46.570242016325395
1013,2009,53.01996136509979
1013,2010,54.7934912658531
1013,2011,68.6006711409396
1013,2012,67.9570670525808
1015,2006,46.57083925538179
1015,2007,53.7973169493421
1015,2008,56.0920493886113
1015,2009,63.4055714399526
1015,2010,63.2986197065276
1015,2011,71.8422976856497
1015,2012,78.05709727243409
1017,2006,41.259979968522
1017,2007,42.7990931787528
1017,2008,50.8714521308914
1017,2009,53.3805901337022
1017,2010,59.60823042887299
1017,2011,71.8030545454545
1017,2012,70.6234661680495
1019,2006,47.133825492813905
1019,2007,58.339138261652295
1019,2008,61.8575440786394
1019,2009,74.04020141646541
1019,2010,73.0821011673152
1019,2011,80.0886943723614
1019,2012,83.455646872709
1021,2006,35.927973911810604
1021,2007,40.7150019822299
1021,2008,43.99176669210671
1021,2009,48.2716691900076
1021,2010,49.008371791006695
1021,2011,56.009805726912795
1021,2012,62.43814633922629
1023,2006,38.3958145658652
1023,2007,43.96525042205971
1023,2008,46.811676349723705
1023,2009,46.9189683041675
1023,2010,54.2328679753384
1023,2011,66.7541030602738
1023,2012,80.1387483740425
1025,2006,28.8891795925995
1025,2007,38.472537448933295
1025,2008,39.739755735646604
1025,2009,44.6051138512747
1025,2010,51.8301275947439
1025,2011,63.067649543116
1025,2012,71.6213908723999
1027,2006,31.1634526435637
1027,2007,39.0621228257011
1027,2008,46.59416707859611
1027,2009,48.7123247875663
1027,2010,43.5925925925926
1027,2011,55.7216274089936
1027,2012,64.50101243853051
1029,2006,17.928188196450698
1029,2007,18.7573484694912
1029,2008,18.562592443189498
1029,2009,23.9454009191303
1029,2010,23.4230587600351
1029,2011,26.543915059471804
1029,2012,29.249245219724898
1031,2006,36.9853768278965
1031,2007,38.2099962071727
1031,2008,42.6991095720999
1031,2009,46.184778428272296
1031,2010,51.718753231711105
1031,2011,57.7296275979765
1031,2012,56.5946843853821
1033,2006,69.3111940161358
1033,2007,74.1889659729105
1033,2008,82.1619885080682
1033,2009,84.5942873904594
1033,2010,87.3606876538221
1033,2011,97.3991335952127
1033,2012,101.461497493159
1035,2006,40.7351319561861
1035,2007,53.1485752548174
1035,2008,60.6737376755303
1035,2009,70.10370596309289
1035,2010,72.5945299656255
1035,2011,80.0715038386271
1035,2012,94.7194419168941
1037,2006,9.8829796524321
1037,2007,13.8010315587027
1037,2008,13.8640911859393
1037,2009,17.0038043982555
1037,2010,19.2528334786399
1037,2011,19.3267274174998
1037,2012,19.6470588235294
1039,2006,49.7051360807671
1039,2007,58.078445962105704
1039,2008,62.50765747769339
1039,2009,67.8862298299171
1039,2010,78.2617528185492
1039,2011,82.0357218571126
1039,2012,83.2137661032193
1041,2006,23.0057636887608
1041,2007,27.9120091716824
1041,2008,31.872575779341997
1041,2009,37.0504858624973
1041,2010,38.860568638713396
1041,2011,40.6500215238915
1041,2012,45.832080738673
1043,2006,45.7195992105663
1043,2007,53.249346536644204
1043,2008,57.1993073636216
1043,2009,60.1451072801687
1043,2010,66.35481167360929
1043,2011,75.3456870124368
1043,2012,75.53660933049758
1045,2006,24.7977667746602
1045,2007,27.259537665696698
1045,2008,30.4539712458142
1045,2009,37.438683059316205
1045,2010,44.670822441182395
1045,2011,46.816105769230795
1045,2012,45.432184962796
1047,2006,22.6897998781671
1047,2007,30.5756437525456
1047,2008,38.0033886818028
1047,2009,35.1883129035277
1047,2010,30.830118458675603
1047,2011,33.7423634539984
1047,2012,36.5741760763793
1049,2006,32.912913351339505
1049,2007,38.304103671706294
1049,2008,42.5210742154127
1049,2009,49.0321634425003
1049,2010,53.3286787172678
1049,2011,61.272235440743295
1049,2012,68.10328545856879
1051,2006,25.903968317252698
1051,2007,32.215004408485
1051,2008,36.8373574609385
1051,2009,41.6153896290117
1051,2010,43.492594977463
1051,2011,54.026525603692704
1051,2012,60.081053825790995
1053,2006,42.0967270989834
1053,2007,44.1483654430614
1053,2008,52.196999657254295
1053,2009,58.3158062884375
1053,2010,73.6338035582693
1053,2011,74.0897035266931
1053,2012,73.0803735375898
1055,2006,55.43177497874971
1055,2007,60.5821373913546
1055,2008,69.9362800606491
1055,2009,75.78594280174501
1055,2010,80.2246651163685
1055,2011,91.0292085668227
1055,2012,97.30111103655199
1057,2006,28.6807001744808
1057,2007,33.401814757747005
1057,2008,38.038880337495
1057,2009,37.731573281967
1057,2010,40.3880494505495
1057,2011,48.3722135821669
1057,2012,54.641384517103205
1059,2006,65.7750369371106
1059,2007,74.51554638111209
1059,2008,84.3510601099844
1059,2009,86.73323175673491
1059,2010,94.31858012299651
1059,2011,110.771914245845
1059,2012,116.051035876705
1061,2006,37.158463705226296
1061,2007,34.321860041030305
1061,2008,37.545222547474296
1061,2009,45.2081395348837
1061,2010,42.6709619079914
1061,2011,47.7673947309165
1061,2012,49.63764055437261
1063,2006,5.52505074244205
1063,2007,9.15610015982952
1063,2008,11.3826263489689
1063,2009,12.6097453906936
1063,2010,13.8303619665046
1063,2011,23.094874591057803
1063,2012,21.4150215065623
1065,2006,16.3541730078529
1065,2007,22.6446583018638
1065,2008,24.5209102091021
1065,2009,21.451039235300698
1065,2010,29.5070509648689
1065,2011,35.0319308790383
1065,2012,38.3771428571429
1067,2006,19.2844924202206
1067,2007,24.980710778583102
1067,2008,26.3471305972328
1067,2009,27.578407720144803
1067,2010,27.7087707021227
1067,2011,31.600928074245896
1067,2012,35.028654124457304
1069,2006,40.3903136281118
1069,2007,46.5891718767587
1069,2008,49.1420908825101
1069,2009,53.9960449475235
1069,2010,62.070504599662705
1069,2011,64.2755458079952
1069,2012,63.00505622961
1071,2006,60.5702746667165
1071,2007,65.1405321283258
1071,2008,64.3979448855675
1071,2009,79.7491398540588
1071,2010,82.4920391113775
1071,2011,87.10572183593528
1071,2012,87.95867039546542
1073,2006,40.0331456502814
1073,2007,44.40726048326899
1073,2008,48.94205571887711
1073,2009,52.25202518226789
1073,2010,57.4739820554351
1073,2011,65.9149244242463
1073,2012,67.51923719444041
1075,2006,36.4214362850972
1075,2007,34.2715254009798
1075,2008,44.7868099195892
1075,2009,51.6137969247818
1075,2010,61.3769246422031
1075,2011,72.56350723845941
1075,2012,71.1127954247916
1077,2006,39.778279841407
1077,2007,44.2996696192389
1077,2008,48.4712912951997
1077,2009,54.7892715979673
1077,2010,55.1934351910377
1077,2011,63.658975387183105
1077,2012,64.19202835898321
1079,2006,38.7404490419654
1079,2007,37.9532266060129
1079,2008,48.529945022809706
1079,2009,47.4895876107233
1079,2010,45.821819775084
1079,2011,56.5710948905109
1079,2012,62.5591542696498
1081,2006,14.2351466571758
1081,2007,16.620810405202597
1081,2008,17.5145698908745
1081,2009,20.9569982168686
1081,2010,21.1152507221687
1081,2011,23.768307279387802
1081,2012,24.443585122536103
1083,2006,34.9252555973442
1083,2007,32.2067233740452
1083,2008,35.1408638295173
1083,2009,37.2591662616772
1083,2010,39.6395044139721
1083,2011,44.6223105995109
1083,2012,45.349825357387196
1085,2006,3.6291652919828397
1085,2007,3.58306188925081
1085,2008,7.99542876492
1085,2009,13.0858138062065
1085,2010,17.6259483419998
1085,2011,21.5990639625585
1085,2012,20.266277423920698
1087,2006,12.519458316462
1087,2007,14.7283748063075
1087,2008,17.992776774552
1087,2009,19.270982783357198
1087,2010,21.1516659753906
1087,2011,19.5318535064452
1087,2012,26.673894597907
1089,2006,40.90875570074721
1089,2007,47.284243918963796
1089,2008,52.598382201121396
1089,2009,52.6620980299127
1089,2010,56.7307298501919
1089,2011,63.0704405418784
1089,2012,69.2373177633486
1091,2006,25.097301565185102
1091,2007,29.8686845168801
1091,2008,33.4442829684497
1091,2009,37.8943894389439
1091,2010,45.8053155522164
1091,2011,54.161381921438704
1091,2012,55.247979339040604
1093,2006,66.4456285129471
1093,2007,77.53962851307979
1093,2008,91.7530241283395
1093,2009,108.143464218936
1093,2010,120.391660171473
1093,2011,143.147769003282
1093,2012,149.125354916615
1095,2006,51.597229307667
1095,2007,55.2715808269628
1095,2008,64.2725535839775
1095,2009,76.0512937162354
1095,2010,84.82969614931709
1095,2011,101.90055620736099
1095,2012,106.081229182336
1097,2006,37.5173286739668
1097,2007,42.6653340399049
1097,2008,46.9885238369877
1097,2009,52.23010083117251
1097,2010,56.433632714991894
1097,2011,62.7273409334503
1097,2012,69.3856710090056
1099,2006,25.2732819252606
1099,2007,28.486154371293303
1099,2008,34.9442140811354
1099,2009,41.818341377797296
1099,2010,40.9811822195551
1099,2011,49.5699296169956
1099,2012,52.082372896098796
1101,2006,26.540756123207697
1101,2007,31.123666011374002
1101,2008,35.171479946012695
1101,2009,37.019516956442295
1101,2010,37.4786201089388
1101,2011,41.332538361747
1101,2012,42.0639038085938
1103,2006,47.91472928626471
1103,2007,53.0163148534756
1103,2008,57.927336992540006
1103,2009,63.261109230275096
1103,2010,63.112928454842205
1103,2011,70.68131385999109
1103,2012,73.47540434090341
1105,2006,12.456682588742199
1105,2007,14.6732875440876
1105,2008,15.224771497854901
